percutere, percutio; percussi; percussum, durchbohren, LW_3_Hygien
ob, Präp. m. Akk., wegen; entgegen; gegenüber von, LW_3_Hygien
construere, construo; construxi; constructum, errichten; aufhäufen, LW_3_Hygien
odor, odoris, der Geruch (der Gestank / der Duft), LW_3_Hygien
iussu, , auf Befehl (von), LW_3_Hygien
nutrire, , (er)nähren; aufziehen; großziehen, LW_3_Hygien
in gratiam redire, , sich aussöhnen, LW_3_Hygien
cum, Präp. m. Abl., mit; zusammen mit, LW_WH_3_Hygien
vulnus, vulneris n, die Wunde; der (milit.) Verlust, LW_WH_3_Hygien
audere, audeo; ausus sum, wagen, LW_WH_3_Hygien
tradere, trado; tradidi; traditum, übergeben; überliefern, LW_WH_3_Hygien
rex, regis, der König, LW_WH_3_Hygien
auxilium, , die Hilfe, LW_WH_3_Hygien
auxilio esse, , helfen, LW_WH_3_Hygien
